promo_name;promo_description;promo_type
Кофе за 1 рубль на АЗС в Набережных Челнах;На АЗС IRBIS в Набережных Челнах по адресу: ул. Ахметшина, 132, кофе за 1 рубль при заправке дизельным топливом от 25 л!   Акция действует с 13.05.23 по 12.06.23 включительно.  ;np
Дарим кофе за 1 рубль на новой АЗС в Набережных Челнах;В честь открытия новой АЗС IRBIS в Набережных Челнах по адресу: Мелиораторная улица, 1/7, кофе всего за 1 рубль при заправке от 25 л!   Акция действительна только на АЗС по адресу: г. Набережные Челны, Мелиораторная улица, 1/7  Период проведения акции: до 30.06.2023 включительно. ;np
ВЫГОДНЫЙ КУРС НА АИ-92 + КЕШБЭК;Узнайте, как сэкономить до 5 ₽ с каждого литра топлива в июне.;np
ЛЕТНИЙ КЕШБЭК;Заправляйтесь любым видом бензина или СУГ, покупайте товары кафе или минимаркета и получайте кешбэк до 3 ₽ баллами с каждого литра топлива на карту лояльности «Заправься выгодой».;np
ЛЕТО – ВРЕМЯ ВЫИГРЫВАТЬ ПРИЗЫ ОТ СБП!;Оплачивайте любые покупки от 10 рублей на АЗС «ЛУКОЙЛ» с помощью Cистемы быстрых платежей (СБП) и участвуйте в летнем розыгрыше денежных призов.;stiu
Твое Выгодное лето!;"Проведите лето вместе с нами, путешествуя на машине выгодно:- кешбэк* 4 рубля Баллами с каждого литра топлива при единовременной покупке топлива и товаров в одном чеке: АИ от 30 л. / ДТ от 40 л. до 99,9 л.** и товаров*** на сумму от 150 руб. в Сети АЗС «Роснефть» Москвы и Московской области;- кешбэк* 3 рубля Баллами с каждого литра топлива при единовременной покупке топлива и товаров в одном чеке: АИ от 25 л. / ДТ от 35 л. до 99,9 л.** и товаров*** на сумму от 100 руб. в Сети АЗС «Роснефть» во всех регионах, кроме Москвы и Московской области;А также участие в еженедельном РОЗЫГРЫШЕ 3 000 000 Баллов (общий призовой фонд)!Общий период совершения покупок с «01» июня 2023 г. по «31» августа 2023 г.Вручение призов розыгрышей с «13» июня 2023 г. по «08» сентября 2023 г.";np
Продлеваем акцию!;Рады сообщить о продлении акции! Повысьте свою скидку за каждый литр топлива на еще 1 рубль, купив капучино или латте объёмом от 300 мл! Акция действует до: 30.06.23 г.Полные правила акции.;stiu
Повышенный кешбэк;До 15 июня включительно заправляйтесь бензином или дизельным топливом от 25 л и получайте кешбэк 2 руб./л* на карту лояльности Smart при оплате по IRBIS Pay в мобильном приложении АЗС IRBIS или на кассе через СБП (систему быстрых платежей).  Срок проведения акции с 02.06.2023 по 15.06.2023 включительно.  *1 бонусный балл = 1 рубль. Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами.   Подробные условия акции: http://azsirbis.ru/upload/pdf/Cashback_IRBISPay_SBP_May2023.pdf ;np
Кешбэк 1 руб./л* при заправке газом;До 15 июня включительно заправляйтесь газом от 25 л и получайте кешбэк 1 руб./л* на карту лояльности Smart при оплате по IRBIS Pay в мобильном приложении АЗС IRBIS или на кассе через СБП (систему быстрых платежей).  Срок проведения акции с 02.06.2023 по 15.06.2023 включительно.  *1 бонусный балл = 1 рубль. Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами. ;np
Просто выгодно;"Заправляйтесь на АЗС «Татнефть» и получайте свою выгоду на топливо!

При оплате наличными, банковской картой:
Скидка 1% (-50коп.) с каждого литра при единовременной заправке от 30 до 100л АИ-92, АИ-95, АИ-98/100, ДТ или ДТ «Танеко» и покупке кофе Американо/Капучино любого объема.
При заправке через СБП:
Скидка 1% (- 50 коп.) с каждого литра при единовременной заправке любого объема АИ-92, АИ-95, АИ-98/100, ДТ или ДТ «Танеко» и покупке кофе Американо/Капучино любого объема.
При заправке через мобильное приложение «АЗС Татнефть»:
1% (- 50 коп.) с каждого литра при заправке любого объема АИ-92, АИ-95, АИ-98/100, ДТ или ДТ «Танеко».
Обращаем внимание, что сервис оплаты топлива через мобильное приложение недоступен на АЗС в г. Санкт-Петербург, Ленинградской, Псковской и Новгородской областях.
Владельцам карты «Клуб Чемпионов» при покупке начислятся бонусы согласно действующему статусу:
Серебряный статус – 1,5%;
Золотой статус – 3%;
Платиновый статус – 5%.
Условия настоящей Акции действительны на автозаправочных станциях сети «Татнефть», расположенных на территории Российской Федерации. Акция не действует на автоматических АЗС, франшизных АЗС, в приложении Яндекс.Заправки, Тинькофф.Топливо, при применении купона на скидку по другим акциям.
Акция не суммируется с другими акциями по снижению цены.  Акция участвует в акции «Сделано в Татарстане» (с применением карты программы лояльности «Клуба Чемпионов»). 
Организаторы акции: ООО «Татнефть-АЗС-Запад», ООО «Татнефть-АЗС Центр», ООО «Татнефть-АЗС-Северо-Запад».
Положение о проведении акции";np
Скидка на КПГ;"При заправке компримированным природным газом на АЗС «Татнефть» при оплате наличными, банковской картой, СПБ и покупке кофе Американо/Капучино любого объема действует скидка – 50 коп./м3 от цены, указанной на стеле на дату заправки. 
При оплате через мобильное приложение «АЗС Татнефть» предоставляется скидка – 50 коп./м3 при любом объеме заправки. 
Условия настоящей Акции действительны на автозаправочных станциях сети «Татнефть», расположенных на территории Российской Федерации. Акция не действует на автоматических АЗС, франшизных АЗС, в приложении Яндекс.Заправки, Тинькофф.Топливо. Акция не суммируется с другими акциями по снижению цены. 
Акция участвует в федеральной акции «Сделано в Татарстане» (с применением карты программы лояльности «Клуба Чемпионов»). 
Организаторы акции ООО «Татнефть-АЗС Центр», ООО «Татнефть-АЗС-Запад». Организатор оставляет за собой право отменить, либо досрочно завершить акцию.

Адресная программа";np
Закажите любимое блюдо Гурманика со СКИДКОЙ!;Ежедневно при заказе любимых блюд самовывозом СКИДКА -20% Мы сделали СКИДКУ на весь ассортимент: бургеры, хот-доги, готовая линейка блюд «Гурманика», в которой вы можете собрать полноценный обед,а также вкуснейший свежесваренный кофе из 100% арабикии горячий чай. Сделайте заказ* онлайн через приложение«Гурманика доставка»и выберите «самовывоз»в способах получения. Забирайте заказ со скидкой -20% в любом удобном пункте самовывоза – быстро и выгодно! *Стоимость блюд в мобильном приложении указывается сразу со скидкой;stiu
Твое Выгодное лето!;Проведите лето вместе с нами! В обычной жизни или в долгих путешествиях на вашем автомобиле – «Семейная команда» поможет вам сделать ваше лето не только незабываемым, но и выгодным.Разыгрываем 3 000 000 Баллов каждую неделю!И начисляем повышенный кешбэк за все акционные покупки:4 Балла за литр - при покупке АИ от 30 л / ДТ от 40 л. до 99 л и товаров от 150р (в одном чеке с АИ/ДТ) на АЗС «Роснефть» г.Москвы и МО;np
Бесплатная диагностика кондиционера;"Бесплатная диагностика кондиционера автомобиля в любом автосервисе FIT SERVICE при записи онлайн по ссылке https://sk-conder.fitauto.ru/ для Участников Программы лояльности «Семейная команда». Также при оплате услуг ремонта Вашего автомобиля в сети автосервисе FIT SERVICE начисляются Баллы на карту ""Семейная команда""* Для этого предъявите Вашу Карту лояльности ""Семейная команда"" при оплате заказ-наряда.Акция с бесплатной диагностикой кондиционера проходит с 1 по 30 июня 2023 года.";stiu
"Итоги ""Весеннего марафона""!";"Друзья,подводим итоги акции ""Весенний марафон""! от Сети ""ТАИФ-НК АЗС""! Ежедневно мы вручалипризы нашим дорогим клиентам - 42 подарочные карты номиналом 1 000 руб! Напомним условия: Было необходимо предъявить при заправке дисконтную карту  «Альтернатива» или «Альтернатива.Такси» и заправиться от 25 литров любым видом топлива. Дополнительно мы определили 42 самых активных участника (с максимальным числом транзакций по картам дисконтной программы «Альтернатива» за весь период), которые получают подарочные сертификаты номиналом 3000 руб! Выбор победителей осуществляется посредством сайта – генератора случайных чисел. Розыгрыши осуществляются на основе ежедневных отчетов, по будням за предшествующий день; если день розыгрыша приходится на выходной или нерабочий день, то в следующий рабочий день.Призеры ""Весеннего марафонаПодарки самым активнымПравила акции.";np
Весенний марафон!;"Друзья, рады представить новую акцию от Сети ""ТАИФ-НК АЗС"" - ""Весенний марафон""!  В течение 42-х дней мы будем вручать призы нашим дорогим клиентам, а именно: ежедневно 42 подарочные карты номиналом 1 000 руб! Для участия нужно:Предъявить при заправке дисконтную карту «Альтернатива» или «Альтернатива.Такси».Заправиться от 25 литров любым видом топлива. Дополнительно, после окончания Акции, будут определены 42 самых активных участника  (с максимальным числом транзакций по картам дисконтной программы «Альтернатива» за весь период),  которым вручат подарочные сертификаты номиналом 3000 руб!Подарки самым активным Выбор победителей осуществляется посредством сайта – генератора случайных чисел. Розыгрыши осуществляются на основе ежедневных отчетов,  по будням за предшествующий день; если день розыгрыша приходится на выходной или нерабочий день, то в следующий рабочий день. Акция действует на всех АЗС сети ООО «ТАИФ-НК АЗС».   Призеры ""Весеннего марафонаПравила акции.";np
Скидка на КПГ;"При заправке компримированным природным газом на АЗС «Татнефть» при оплате наличными, банковской картой, СПБ и покупке кофе Американо/Капучино любого объема действует скидка  1% (– 50 коп./м3) от цены, указанной на стеле на дату заправки. 
При оплате через мобильное приложение «АЗС Татнефть» предоставляется скидка 1% (– 50 коп./м3) при любом объеме заправки. 
Владельцам карты «Клуб Чемпионов» при покупке начислятся бонусы согласно действующему статусу:
Серебряный статус – 1,5%;
Золотой статус – 3%;
Платиновый статус – 5%.
Условия настоящей Акции действительны на автозаправочных станциях сети «Татнефть», расположенных на территории Российской Федерации. Акция не действует на автоматических АЗС, франшизных АЗС, в приложении Яндекс.Заправки, Тинькофф.Топливо. Акция не суммируется с другими акциями по снижению цены. 
Акция участвует в федеральной акции «Сделано в Татарстане» (с применением карты программы лояльности «Клуба Чемпионов»). 
Организаторы акции ООО «Татнефть-АЗС Центр», ООО «Татнефть-АЗС-Запад». Организатор оставляет за собой право отменить, либо досрочно завершить акцию.
 
Положение о проведении акции
Адресная программа";np
HAVAL от 7000 рублей в месяц!;"Уважаемые Клиенты!   В июне действует специальное кредитное предложение на HAVAL в ""КАН АВТО""! До 30 июня у вас есть возможность приобрести HAVAL Jolion за 7000р. в месяц*, а также подучить персональный, внушительный бонус за сдачу своего ""старого"" автомобиля в трейд-ин.   1. 5 лет гарантии на автомобиль; 2. Выгодная оценка вашего ""старого авто""; 3. Быстрое одобрение по кредиту.  Количество автомобилей ограничено, поэтому мы ждем Вас в нашем дилерском центре!   А также приглашаем на мероприятие 10 июня в 13.00 с возможностью получить автомобильную сигнализацию в подарок!   Ваш дилерский центр HAVAL КАН АВТО, наш адрес Оренбургский тракт, 209 (напротив РКБ). Подробнее по тел.(8430 230 30 30! Звоните или приезжайте!   *Предложение действительно на автомобиль Хавэйл Джолион 2023 года в комплектации «Комфорт» с бензиновым двигателем 1,5л., 2023 года выпуска при условии покупки автомобиля в кредит, ставка 9, 4%, первоначальный взнос 60%, сроком до 60 месяцев, сумма предоставляемая в кредит составляет 599 000 рублей. В тело кредитного предложения включено предложение по КАСКО. Срок проведения акции с 01.06.2023 года по 30.06.2023 года. Генеральная лицензия ООО «Драйв Клик Банк» №2168 от 09.12.2022.Не оферта.   Подробности 8 843 230 30 30";stiu
Новый седан OMODA S5 от 1 909 900р.* в рассрочку!;"Уважаемые Клиенты, представляем вам абсолютно новый седан от бренда OMODA в дилерском центре ""КАН АВТО""  всего от 1 909 900 р.*!  Только до 30 июня вы можете приобрести данный автомобиль в рассрочку на 78 месяцев!  Ждем вас в дилерском центре OMODA КАН АВТО! По адресу: Оренбургский тракт, 209 (напротив РКБ)   *Предложение действительно на автомобиль ОМОДА ЦЭ ПЯТЬ  2022-2023 года выпуска любой комплектации при условии покупки автомобиля по программе авторассрочки с остаточным платежом.Ставка 0%,маскимальный размер остаточного платежа 60%, максимальный срок авторассрочки с пролангацией до 78 месяцев, сумма пердоставлемая в рассрочку, составляет от 400 000 до 4 900 000 рублей. Акция с 01.06.2023 года по 30.06.2023 года. Не оферта. ПАО СОВКОМБАНК.   Подробности: 8 843 230 30 30";stiu
Выгодное комбо!;Друзья, рады представить вам выгодные комбо наборы!Кофе зерновой АМЕРИКАНО 200 мл + Пицца 180 гр. – 185 руб.Кофе зерновой КАПУЧИНО 200 мл + Сосиска в тесте 120 гр. – 157 руб.Кофе зерновой ЛАТТЕ 200мл + Элеш из кур. филе с картофелем 150 гр.– 164 руб.Кофе зерновой АМЕРИКАНО 300 мл + Эчпочмак с говядиной и картофелем 100 гр.– 169 руб.Кофе зерновой КАПУЧИНО 300 мл + Самса из куриного филе 130 гр.– 172 руб.Период проведения Акции: с 08.06.2023г. по 08.09.2023г.Правила акции и список участвующих АЗС.;stiu
"Новый комбо-набор ""Альпийский""";"Друзья, рады представить вамновую акцию на наших АЗС! При единовременной покупке за наличный расчет или при оплате банковской картой товаров указанных в комбо наборе в пункте 1 настоящего распоряжения клиенту предоставляется товар по сниженной фиксированной цене. Кофе зерновой Капучино 200 мл + Сэндвич Хот-дог ""Альпийский"" – 219 руб. Кофе зерновой Капучино 200 мл TM Nescafe + Сэндвич Хот-дог ""Альпийский""– 219 руб Период проведения Акции: с08.06.2023 г. до 08.07.2023 г. Скидка не суммируется и не взаимодействует с другими действующими акциями на нефтепродукты за исключением скидки предоставляемой картой «Альтернатива»Правила акции и список участвующих АЗС.";stiu
"Новый комбо-набор ""Чикен гриль"" ";"Друзья, рады представить вамновую акцию на наших АЗС! При единовременной покупке за наличный расчет или при оплате банковской картой  товаров указанных в комбо наборе в пункте 1 настоящего распоряжения клиенту  предоставляется товар по сниженной фиксированной цене. Кофе зерновой Капучино 200 мл + Датский Хот-дог ""Чикен гриль"" 80 гр – 252 руб. Кофе зерновой Латте 200 мл + Французский Хот-дог ""Чикен Гриль"" 80 гр– 230 руб. Кофе зерновой Капучино 200 мл TM Nescafe + Датский Хот-дог ""Чикен гриль"" 80 гр – 252 руб. Кофе зерновой Латте 200 мл TM Nescafe + Французский Хот-дог ""Чикен Гриль"" 80 гр – 230 руб Период проведения Акции: с08.06.2023 г. до 08.07.2023 г. Скидка не суммируется и не взаимодействует с другими действующими акциями на нефтепродукты  за исключением скидки предоставляемой картой «Альтернатива»Правила акции и список участвующих АЗС.";stiu
Выгодное комбо!;Друзья, рады представить вам выгодные комбо наборы! Кофе зерновой АМЕРИКАНО 200 мл + Пицца 180 гр. – 185 руб. Кофе зерновой КАПУЧИНО 200 мл + Сосиска в тесте 120 гр. – 157 руб. Кофе зерновой ЛАТТЕ 200мл + Элеш из кур. филе с картофелем 150 гр.– 164 руб. Кофе зерновой АМЕРИКАНО 300 мл + Эчпочмак с говядиной и картофелем 100 гр.– 169 руб. Кофе зерновой КАПУЧИНО 300 мл + Самса из куриного филе 130 гр.– 172 руб. Период проведения Акции: с 08.06.2023г. по 08.09.2023г.Правила акции и список участвующих АЗС.;stiu
Уважаемый Клиент! На АЗС «Газпромнефть» Вы можете оплатить покупку через Систему быстрых платежей и принять участие в розыгрыше денежных призов;Розыгрыш проводит АО «НСПК». Оплата покупок указанным способом доступна для клиентов банков – участников системы быстрых платежей (СБП) в торгово-сервисных предприятиях, поддерживающих приём платежей через СБП. Общий срок проведения акции с 29.05.2023 – 30.07.2023. Срок совершения покупок с оплатой через СБП для участия в розыгрыше 29.05.2023 – 30.07.2023. В розыгрыше участвуют оплаты от 10 рублей и выше. На момент определения победителей физические лица должны быть участниками программы лояльности АО «НСПК».;stiu
Повышенный кешбэк;До 15 июня включительно заправляйтесь бензином или дизельным топливом от 25 л и получайте кешбэк 2 руб./л* на карту лояльности Smart при оплате по IRBIS Pay в мобильном приложении АЗС IRBIS или на кассе через СБП (систему быстрых платежей).  Срок проведения акции с 02.06.2023 по 15.06.2023 включительно.  *1 бонусный балл = 1 рубль. Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами.   ;np
Повышенный кешбэк;До 15 июня включительно заправляйтесь бензином или дизельным топливом от 25 л и получайте кешбэк 2 руб./л* на карту лояльности Smart при оплате по IRBIS Pay в мобильном приложении АЗС IRBIS или на кассе через СБП (систему быстрых платежей).  Срок проведения акции с 02.06.2023 по 15.06.2023 включительно.  *1 бонусный балл = 1 рубль. Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами.   Подробные правила акции: http://azsirbis.ru/upload/pdf/Cashback_IRBISPay_SBP_June2023.pdf  ;np
Квас домашний;Квас Муромский «Домашний» 1 л. за 109 рублей. Только на АЗС IRBIS!  Предложение действительно с 25.05.23 по 31.07.23 при наличии акционного товара в магазине.;stiu
Баурсак;Национальная сладость «Баурсак» 250 гр. за 249 рублей. Только на АЗС IRBIS!  Предложение действительно с 25.05.23 по 31.07.23 при наличии акционного товара в магазине.;stiu
Хот-дог БИК БИФ;Хот-дог БИК БИФ с говяжьей сосиской за 229 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.06.23 по 31.07.23 при наличии акционного товара в магазине.;stiu
Напиток газированный «Черноголовка» ;Напиток газированный «Черноголовка» 0,5 л. в ассортименте за 49 рублей. Только на АЗС IRBIS!  Предложение действительно с 25.05.23 по 31.07.23 при наличии акционного товара в магазине.;stiu
ПУТЕШЕСТВУЙ С ЛУКОЙЛ;Отправляйтесь в запоминающуюся поездку и заправляйтесь на АЗС «ЛУКОЙЛ» — получайте баллы на топливо и купоны на кофе и френч-доги.;np
Скидка на кофе в свою кружку;Покупайте кофе в свою кружку и получайте скидку 20 рублей!  *Акция действует на всех АЗС IRBIS. Акционная номенклатура не участвует в акции «6-я чашка в подарок».   ;stiu
Заправляйся с умом;Масштабный розыгрыш призов от АЗС IRBIS, приуроченный к 25-летнему юбилею компании!  Совершая покупки с 04.05.23 по 15.10.23 с использованием карты лояльности Smart вы становитесь участником розыгрыша призов, где главный приз – автомобиль OMODA C5!  Также среди призов: • 8 сертификатов по 50 000 бонусных баллов • 10 сертификатов по 10 000 бонусных баллов • 500 сертификатов по 500 бонусных баллов • >1 000 000 моментальных призов в приложении АЗС IRBIS!  Чтобы принять участие в акции необходимо: 1. Обновить мобильное приложение «АЗС IRBIS» до последней версии 2. Совершить 6 акционных покупок с предъявлением карты лояльности Smart или мобильного приложения в период проведения розыгрыша. Учитываются заправки от 25 л любым видом топлива или покупки от 250 рублей в маркетах при АЗС (кроме табачной продукции). Акция не действует при оплате топлива или товара бонусными баллами.  За каждые 6 акционных покупок вы получаете 1 купон. В течение календарного дня можно получить не более 1 купона. Получить моментальный приз можно только в мобильном приложении «АЗС IRBIS», после открытия электронного купона. Все полученные моментальные призы хранятся во вкладке «Заправляйся с умом 2023» - «Ваши призы», а также в корзине мобильного приложения (достижения).  Отслеживать количество купонов можно в личном кабинете на сайте www.smart.azsirbis.ru или в мобильном приложении «АЗС IRBIS».  Подробные правила акции: http://azsirbis.ru/upload/pdf/Zapravlaysya_s_umom_2023.pdf;np
Делись кодом с другом;"Теперь рекомендовать АЗС IRBIS стало выгодно! Отправляйте реферальный код из мобильного приложения АЗС IRBIS друзьям и получайте по 150 баллов за каждого друга!  Что нужно сделать: 1. В разделе ""Ещё"" - ""Промокоды"" нажмите на клавишу ""Поделиться промокодом"" и отправьте его друзьям.  2. Другу необходимо зарегистрироваться в мобильном приложении АЗС IRBIS, ввести реферальный код в разделе ""Промокоды"" и совершить 2 заправки от 25 литров  3. После этого каждый (и вы, и друг) получает по 150 баллов на карту лояльности!  Количество приглашаемых друзей - не ограничено.  Подробные правила: http://azsirbis.ru/upload/pdf/Referral_program_rules_2023.pdf";np
Умножаем бонусы при заправке ГАЗОМ!;"Уважаемые клиенты! При заправке газом на АГЗС «IRBIS» начисляются повышенные бонусы на карту SMART! - 1% от суммы покупки начисляется, если количество заправленных литров газа менее 30 л.; - 2% от суммы покупки начисляются, если количество заправленных литров газа более 30 л., но менее 80 л.; - 3% от суммы покупки начисляются, если количество заправленных литров газа более 80. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. Акция действительна на всех АГЗС ""IRBIS"".  Полные правила акции доступны по ссылке: http://azsirbis.ru/upload/pdf/pravila_umnozhaem_bonusy_pri_zapravke_gazom.pdf               ";stiu
Дарим кофе за 1 рубль на новой АЗС в Набережных Челнах;В честь открытия новой АЗС IRBIS в Набережных Челнах по адресу: Мелиораторная улица, 1/7, кофе всего за 1 рубль при заправке от 25 л!   Акция действительна только на АЗС по адресу: г. Набережные Челны, Мелиораторная улица, 1/7  Период проведения акции: до 30.06.2023 включительно. ;stiu
СЧАСТЛИВЫЕ ЧАСЫ;С 11:00 до 17:00 американо, капучино и латте объёмом 400 мл по цене 200 мл.;stiu
"Итоги ""Весеннего марафона""!";"Друзья,подводим итоги акции ""Весенний марафон""! от Сети ""ТАИФ-НК АЗС""! Ежедневно мы вручалипризы нашим дорогим клиентам - 42 подарочные карты номиналом 1 000 руб! Напомним условия: Было необходимо предъявить при заправке дисконтную карту  «Альтернатива» или «Альтернатива.Такси» и заправиться от 25 литров любым видом топлива. Дополнительно мы определили 42 самых активных участника (с максимальным числом транзакций по картам дисконтной программы «Альтернатива» за весь период), которые получают подарочные сертификаты номиналом 3000 руб! Выбор победителей осуществляется посредством сайта – генератора случайных чисел. Розыгрыши осуществляются на основе ежедневных отчетов, по будням за предшествующий день; если день розыгрыша приходится на выходной или нерабочий день, то в следующий рабочий день.Призеры ""Весеннего марафонаПодарки самым активнымПравила акции.";stiu
"Продлеваем июньские скидки с ""2GIS""!";"Мы продолжаем акцию специально для пользователей приложения ""2GIS"". Условия Акции: Скидка предоставляется предъявителям штрих-кода мобильного приложения «2GIS» в размере 1 руб./л. на все топливо! Скидка предоставляется предъявителям штрих-кода мобильного приложения ""2GIS"". Оплатить можно наличными или банковской картой. Штрих-код действует до 30.06.2023 г.Правила акции";np
Продлеваем июньские скидки!;"Продлеваем июньские скидки! При покупке топлива с предъявлением дисконтных карт «Альтернатива», «Альтернатива. Такси» предоставляется скидка: - на АИ-92, АИ-92 ЭКО, АИ-95, АИ-98, ДТЕ, ДТЛ, СУГ в размере 1 руб./л.; - на АИ-92, АИ-92 ЭКО, АИ-95, ДТЕ, ДТЛ в размере 2 руб./л. при заправке от 30-ти литров. Акция действует до: 30.06.23Полные правила акции.";np
"Представляем июньские скидки с ""Командной игрой""!";"Сеть ООО ""ТАИФ-НК АЗС"" и ООО Банк «Аверс» проводят совместную Акцию  с повышенной скидкой на топливо — при оплате моторного топлива картой Банка ""Аверс"", клиенту предоставляется повышенная скидка: Участник акции, в период её проведения, приобретая в сети «ТАИФ-НК АЗС»любой объеммоторного топлива путем совершения расходных операций по своему банковскому счету с использованием банковской карты, эмитированной ООО Банк «Аверс», получает скидку на: АИ-92, АИ-92 ЭКО, АИ-95, АИ-98, ДТЕ, ДТЛ в размере 2 руб/л., на СУГ в размере 1 руб/л. Акция действует на всех АЗС сети ООО «ТАИФ-НК АЗС». Период проведения акцияпо 30.06.2023 г.Правила акции.";np
Совершайте покупки с 01.06.23 по 31.08.23  любого напитка в стакане G-Drive и получите промокод на бонусы в размере 15%  от стоимости акционного товара при следующей покупке.;Совершайте покупки с 01.06.23 по 31.08.23  любого напитка в стакане G-Drive и получите промокод на бонусы в размере 15% от стоимости акционного товара при следующей покупке.;stiu
ВЫГОДНО!  -10% на ваши покупки в «Ленте»!;Для получения скидки предъявите на кассе этот шрих-код вместе с вашей Картой №1 в период с 19.06.23 г. по 31.07.23. Акция действует в магазинах «Гипер Лента», «Супер Лента», «Мини Лента» г. Москва и Московская область. Штрих кодом можно воспользоваться один раз за весь период акции. Максимальная сумма скидки 1000 рублей. Покупка должна быть совершена в одном чеке с предъявлением Карты №1 и купона до момента оплаты кассиру. Сумма покупки определяется после применения всех скидок и гарантированной скидки по Карте №1, а также за вычетом стоимости табака и табачных изделий, а также иных товаров, стимулирование продаж которых запрещено по закону, подарочных карт «Лента», Карты №1, лотерейных билетов «Столото», товары категории «Фикс. Цена. Выбирайте!». При наличии двух скидок на один и тот же товар применяется наибольшая скидка. Если на товар установлена минимальная розничная цена, размер скидки может быть ограничен до МРЦ. Скидка по шрих-коду не распространяется на покупку табака и табачных изделий, а также иных товаров, стимулирование продаж которых запрещено по закону, подарочных карт «Лента», Карты №1, лотерейных билетов «Столото», товары категории «Фикс. Цена. Выбирайте!». Подробную информацию можно получить по телефону центра информационной поддержки и клиентов 8 800 700 41 11 (звонок по России бесплатный). (*№1 по количеству покупателей, считающих, что карта магазина «Лента» дает существенную выгоду при покупках (опрос посетителей продовольственных магазинов в городах присутствия «Ленты», 2023)). ВЫГОДНО! -10% на ваши покупки в «Ленте»! Делать гастрономические открытия – увлекательное хобби, которое с «Лентой» с лёгкостью сможет освоить каждый! С 19 июня по 31 июля 2023 года пробуйте новое и выбирайте любимые товары со СКИДКОЙ -10% на чек от 1 000 руб. поНАШЕМУ КУПОНУв любом из магазинов сети: «Мини Ленте», «Супер Ленте» и «Гипер Ленте». Хороший вкус в каждой покупке!;stiu
Выгода за фишки ;"<strong>Воспользуйтесь возможностью приобрести товары для пикника торговых марок &laquo;ELLE HOME&raquo; &laquo;Spear&amp;Jackson&raquo; с выгодой до 71%.</strong>";stiu
